"";"X";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species";"Collector";"Sepal.Length.trans"
"332";101;4,9;2,4;3,3;1;"versicolor";"Ollie Tabooger";1,176
"333";102;6,6;2,9;4,6;1,3;"versicolor";"Ollie Tabooger";1,584
"334";103;5,6;3;4,1;1,3;"versicolor";"Ollie Tabooger";1,344
"335";104;7,7;3,8;6,7;2,2;"virginica";"Ollie Tabooger";1,848
"336";105;6,2;2,2;4,5;1,5;"versicolor";"Ollie Tabooger";1,488
"337";106;6;2,7;5,1;1,6;"versicolor";"Ollie Tabooger";1,44
"338";107;6,2;2,8;4,8;1,8;"virginica";"Ollie Tabooger";1,488
"339";108;6,3;3,3;6;2,5;"virginica";"Ollie Tabooger";1,512
"340";109;5,8;2,7;5,1;1,9;"virginica";"Ollie Tabooger";1,392
"341";110;6,3;3,3;6;2,5;"virginica";"Ollie Tabooger";1,512
"342";111;4,6;3,4;1,4;0,3;"setosa";"Ollie Tabooger";1,104
"343";112;5;3,5;1,3;0,3;"setosa";"Ollie Tabooger";1,2
"344";113;5,1;3,7;1,5;0,4;"setosa";"Ollie Tabooger";1,224
"345";114;4,4;3,2;1,3;0,2;"setosa";"Ollie Tabooger";1,056
"346";115;4,4;3,2;1,3;0,2;"setosa";"Ollie Tabooger";1,056
"347";116;6,7;3,1;5,6;2,4;"virginica";"Ollie Tabooger";1,608
"348";117;5;3,2;1,2;0,2;"setosa";"Ollie Tabooger";1,2
"349";118;5,3;3,7;1,5;0,2;"setosa";"Ollie Tabooger";1,272
"350";119;6,8;3;5,5;2,1;"virginica";"Ollie Tabooger";1,632
"351";120;4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger";1,176
"352";121;6,3;2,5;4,9;1,5;"versicolor";"Ollie Tabooger";1,512
"353";122;6,3;2,3;4,4;1,3;"versicolor";"Ollie Tabooger";1,512
"354";123;6,2;3,4;5,4;2,3;"virginica";"Ollie Tabooger";1,488
"355";124;5;2,3;3,3;1;"versicolor";"Ollie Tabooger";1,2
"356";125;5,9;3;5,1;1,8;"virginica";"Ollie Tabooger";1,416
"357";126;4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger";1,176
"358";127;7,7;2,8;6,7;2;"virginica";"Ollie Tabooger";1,848
"359";128;6,4;2,8;5,6;2,1;"virginica";"Ollie Tabooger";1,536
"360";129;5,4;3,4;1,5;0,4;"setosa";"Ollie Tabooger";1,296
"361";130;6,3;2,5;4,9;1,5;"versicolor";"Ollie Tabooger";1,512
"362";131;4,9;3,1;1,5;0,2;"setosa";"Ollie Tabooger";1,176
"363";132;4,9;2,5;4,5;1,7;"virginica";"Ollie Tabooger";1,176
"364";133;5,4;3,9;1,3;0,4;"setosa";"Ollie Tabooger";1,296
"365";134;6,6;2,9;4,6;1,3;"versicolor";"Ollie Tabooger";1,584
"366";135;5,7;2,8;4,1;1,3;"versicolor";"Ollie Tabooger";1,368
"367";136;5;3,4;1,6;0,4;"setosa";"Ollie Tabooger";1,2
"368";137;7,2;3,6;6,1;2,5;"virginica";"Ollie Tabooger";1,728
"369";138;6,8;3,2;5,9;2,3;"virginica";"Ollie Tabooger";1,632
"370";139;6,1;2,8;4,7;1,2;"versicolor";"Ollie Tabooger";1,464
"371";140;5,5;2,4;3,7;1;"versicolor";"Ollie Tabooger";1,32
"372";141;4,3;3;1,1;0,1;"setosa";"Ollie Tabooger";1,032
"373";142;5;3,2;1,2;0,2;"setosa";"Ollie Tabooger";1,2
"374";143;6;2,7;5,1;1,6;"versicolor";"Ollie Tabooger";1,44
"375";144;4,6;3,6;1;0,2;"setosa";"Ollie Tabooger";1,104
"376";145;4,8;3;1,4;0,1;"setosa";"Ollie Tabooger";1,152
"377";146;5,7;2,9;4,2;1,3;"versicolor";"Ollie Tabooger";1,368
"378";147;5,1;3,5;1,4;0,3;"setosa";"Ollie Tabooger";1,224
"379";148;4,6;3,1;1,5;0,2;"setosa";"Ollie Tabooger";1,104
"380";149;7,7;2,8;6,7;2;"virginica";"Ollie Tabooger";1,848
"381";150;5;3,5;1,3;0,3;"setosa";"Ollie Tabooger";1,2
"382";151;6,2;2,8;4,8;1,8;"virginica";"Ollie Tabooger";1,488
"383";152;7,7;3,8;6,7;2,2;"virginica";"Ollie Tabooger";1,848
"384";153;6,5;3;5,5;1,8;"virginica";"Ollie Tabooger";1,56
"385";154;6,1;2,8;4,7;1,2;"versicolor";"Ollie Tabooger";1,464
"386";155;4,9;2,4;3,3;1;"versicolor";"Ollie Tabooger";1,176
"387";156;5,8;2,7;5,1;1,9;"virginica";"Ollie Tabooger";1,392
"388";157;5,1;3,4;1,5;0,2;"setosa";"Ollie Tabooger";1,224
"389";158;6,6;2,9;4,6;1,3;"versicolor";"Ollie Tabooger";1,584
"390";159;5;3,4;1,6;0,4;"setosa";"Ollie Tabooger";1,2
"391";160;5,9;3;5,1;1,8;"virginica";"Ollie Tabooger";1,416
"392";161;6,5;3;5,5;1,8;"virginica";"Ollie Tabooger";1,56
"393";162;4,8;3;1,4;0,3;"setosa";"Ollie Tabooger";1,152
"394";163;4,3;3;1,1;0,1;"setosa";"Ollie Tabooger";1,032
"395";164;5;3,2;1,2;0,2;"setosa";"Ollie Tabooger";1,2
"396";165;5,6;3;4,5;1,5;"versicolor";"Ollie Tabooger";1,344
"397";166;6,4;2,7;5,3;1,9;"virginica";"Ollie Tabooger";1,536
"398";167;6,4;2,9;4,3;1,3;"versicolor";"Ollie Tabooger";1,536
"399";168;5;3,4;1,6;0,4;"setosa";"Ollie Tabooger";1,2
"400";169;6,3;2,8;5,1;1,5;"virginica";"Ollie Tabooger";1,512
"401";170;7,4;2,8;6,1;1,9;"virginica";"Ollie Tabooger";1,776
"402";171;5,4;3,9;1,3;0,4;"setosa";"Ollie Tabooger";1,296
"403";172;6,1;3;4,9;1,8;"virginica";"Ollie Tabooger";1,464
"404";173;7,3;2,9;6,3;1,8;"virginica";"Ollie Tabooger";1,752
"405";174;6,7;3,3;5,7;2,5;"virginica";"Ollie Tabooger";1,608
"406";175;6,9;3,1;5,4;2,1;"virginica";"Ollie Tabooger";1,656
"407";176;6,5;2,8;4,6;1,5;"versicolor";"Ollie Tabooger";1,56
"408";177;4,9;2,4;3,3;1;"versicolor";"Ollie Tabooger";1,176
"409";178;4,7;3,2;1,6;0,2;"setosa";"Ollie Tabooger";1,128
"410";179;7,9;3,8;6,4;2;"virginica";"Ollie Tabooger";1,896
"411";180;6,4;2,9;4,3;1,3;"versicolor";"Ollie Tabooger";1,536
"412";181;6,1;3;4,6;1,4;"versicolor";"Ollie Tabooger";1,464
"413";182;5,7;2,9;4,2;1,3;"versicolor";"Ollie Tabooger";1,368
"414";183;4,9;3,6;1,4;0,1;"setosa";"Ollie Tabooger";1,176
"415";184;5,9;3;4,2;1,5;"versicolor";"Ollie Tabooger";1,416
"416";185;6,5;3;5,2;2;"virginica";"Ollie Tabooger";1,56
"417";186;5,5;2,4;3,7;1;"versicolor";"Ollie Tabooger";1,32
"418";187;5,1;3,8;1,6;0,2;"setosa";"Ollie Tabooger";1,224
"419";1;4,8;3,1;1,6;0,2;"setosa";"Seymour Butz";1,152
"420";2;7,7;2,8;6,7;2;"virginica";"Seymour Butz";1,848
"421";3;6,7;3;5;1,7;"versicolor";"Seymour Butz";1,608
"422";4;6,3;2,7;4,9;1,8;"virginica";"Seymour Butz";1,512
"423";5;5,1;3,5;1,4;0,3;"setosa";"Seymour Butz";1,224
"424";6;5,9;3;5,1;1,8;"virginica";"Seymour Butz";1,416
"425";7;6,9;3,1;4,9;1,5;"versicolor";"Seymour Butz";1,656
"426";8;5;3,4;1,6;0,4;"setosa";"Seymour Butz";1,2
"427";9;5,6;3;4,1;1,3;"versicolor";"Seymour Butz";1,344
"428";10;6,4;2,9;4,3;1,3;"versicolor";"Seymour Butz";1,536
"429";11;5,6;3;4,1;1,3;"versicolor";"Seymour Butz";1,344
"430";12;6,4;2,8;5,6;2,2;"virginica";"Seymour Butz";1,536
"431";13;5,2;4,1;1,5;0,1;"setosa";"Seymour Butz";1,248
"432";14;5,2;3,5;1,5;0,2;"setosa";"Seymour Butz";1,248
"433";15;5,7;2,8;4,1;1,3;"versicolor";"Seymour Butz";1,368
"434";16;5;3,3;1,4;0,2;"setosa";"Seymour Butz";1,2
"435";17;5,1;3,4;1,5;0,2;"setosa";"Seymour Butz";1,224
"436";18;4,4;3;1,3;0,2;"setosa";"Seymour Butz";1,056
"437";19;5;3;1,6;0,2;"setosa";"Seymour Butz";1,2
"438";20;5,9;3;4,2;1,5;"versicolor";"Seymour Butz";1,416
"439";21;5,8;4;1,2;0,2;"setosa";"Seymour Butz";1,392
"440";22;4,8;3;1,4;0,1;"setosa";"Seymour Butz";1,152
"441";23;6,4;2,7;5,3;1,9;"virginica";"Seymour Butz";1,536
"442";24;7,7;2,6;6,9;2,3;"virginica";"Seymour Butz";1,848
"443";25;5;2;3,5;1;"versicolor";"Seymour Butz";1,2
"444";26;5,1;3,3;1,7;0,5;"setosa";"Seymour Butz";1,224
"445";27;5,8;2,8;5,1;2,4;"virginica";"Seymour Butz";1,392
"446";28;5,8;2,7;5,1;1,9;"virginica";"Seymour Butz";1,392
"447";29;5,5;2,4;3,8;1,1;"versicolor";"Seymour Butz";1,32
"448";30;4,7;3,2;1,6;0,2;"setosa";"Seymour Butz";1,128
"449";31;5,5;2,3;4;1,3;"versicolor";"Seymour Butz";1,32
"450";32;5,8;2,6;4;1,2;"versicolor";"Seymour Butz";1,392
"451";33;6,3;2,3;4,4;1,3;"versicolor";"Seymour Butz";1,512
"452";34;6,7;3;5;1,7;"versicolor";"Seymour Butz";1,608
"453";35;6,1;2,8;4,7;1,2;"versicolor";"Seymour Butz";1,464
"454";36;6,4;2,9;4,3;1,3;"versicolor";"Seymour Butz";1,536
"455";37;4,9;3,1;1,5;0,1;"setosa";"Seymour Butz";1,176
"456";38;5,5;2,4;3,8;1,1;"versicolor";"Seymour Butz";1,32
"457";39;5,4;3,9;1,7;0,4;"setosa";"Seymour Butz";1,296
"458";40;5,7;2,8;4,1;1,3;"versicolor";"Seymour Butz";1,368
"459";41;6,5;3;5,2;2;"virginica";"Seymour Butz";1,56
"460";42;6;2,2;4;1;"versicolor";"Seymour Butz";1,44
"461";43;5,4;3,7;1,5;0,2;"setosa";"Seymour Butz";1,296
"462";44;6,2;2,9;4,3;1,3;"versicolor";"Seymour Butz";1,488
"463";45;6,9;3,1;5,4;2,1;"virginica";"Seymour Butz";1,656
"464";46;5,6;2,5;3,9;1,1;"versicolor";"Seymour Butz";1,344
"465";47;5,9;3,2;4,8;1,8;"versicolor";"Seymour Butz";1,416
"466";48;5,7;2,8;4,1;1,3;"versicolor";"Seymour Butz";1,368
"467";49;6,3;3,3;6;2,5;"virginica";"Seymour Butz";1,512
"468";50;4,9;3,1;1,5;0,2;"setosa";"Seymour Butz";1,176
"469";51;5,7;3;4,2;1,2;"versicolor";"Seymour Butz";1,368
"470";52;6,6;3;4,4;1,4;"versicolor";"Seymour Butz";1,584
"471";53;4,9;3;1,4;0,2;"setosa";"Seymour Butz";1,176
"472";54;5;2,3;3,3;1;"versicolor";"Seymour Butz";1,2
"473";55;5,9;3;5,1;1,8;"virginica";"Seymour Butz";1,416
"474";56;5;3,6;1,4;0,2;"setosa";"Seymour Butz";1,2
"475";57;5,4;3,7;1,5;0,2;"setosa";"Seymour Butz";1,296
"476";58;6,7;3,3;5,7;2,5;"virginica";"Seymour Butz";1,608
"477";59;6,8;2,8;4,8;1,4;"versicolor";"Seymour Butz";1,632
"478";60;5,7;3;4,2;1,2;"versicolor";"Seymour Butz";1,368
"479";61;6,1;2,6;5,6;1,4;"virginica";"Seymour Butz";1,464
"480";62;5,8;2,7;5,1;1,9;"virginica";"Seymour Butz";1,392
"481";63;6,5;3;5,5;1,8;"virginica";"Seymour Butz";1,56
"482";64;6,4;3,2;5,3;2,3;"virginica";"Seymour Butz";1,536
"483";65;4,6;3,1;1,5;0,2;"setosa";"Seymour Butz";1,104
"484";66;5,2;3,4;1,4;0,2;"setosa";"Seymour Butz";1,248
"485";67;5,2;2,7;3,9;1,4;"versicolor";"Seymour Butz";1,248
"486";68;6,4;3,1;5,5;1,8;"virginica";"Seymour Butz";1,536
"487";69;7,4;2,8;6,1;1,9;"virginica";"Seymour Butz";1,776
"488";70;5;3,4;1,6;0,4;"setosa";"Seymour Butz";1,2
"489";71;6,3;3,3;6;2,5;"virginica";"Seymour Butz";1,512
"490";72;4,6;3,4;1,4;0,3;"setosa";"Seymour Butz";1,104
"491";73;6,1;2,6;5,6;1,4;"virginica";"Seymour Butz";1,464
"492";74;5,7;4,4;1,5;0,4;"setosa";"Seymour Butz";1,368
"493";75;5,1;3,7;1,5;0,4;"setosa";"Seymour Butz";1,224
"494";76;6;2,2;4;1;"versicolor";"Seymour Butz";1,44
"495";77;5,2;3,5;1,5;0,2;"setosa";"Seymour Butz";1,248
"496";78;6,3;3,4;5,6;2,4;"virginica";"Seymour Butz";1,512
"497";79;4,6;3,1;1,5;0,2;"setosa";"Seymour Butz";1,104
"498";80;4,9;3,6;1,4;0,1;"setosa";"Seymour Butz";1,176
"499";81;6,1;2,9;4,7;1,4;"versicolor";"Seymour Butz";1,464
"500";82;5,1;3,5;1,4;0,2;"setosa";"Seymour Butz";1,224
